,
date edited,Changelog
,Revised Beginner's Guide to be In-depth [2nd Revision]
,Revised Content Keys tab slightly
,
2024-07-09 00:00:00,"Changed Keys for AoT, AH to reflect R11 & R14"
,
2024-07-08 00:00:00,Added names to the PvP tab / Sorted heroes based on Name
,Reverted the Soul Imprint Build tab back to the original design
,Made slight changes to the wording in Mid-Game guide
,Changed the color scheme to several tabs
,Added Arme (S)'s icon to the sheet
,
2024-07-05 00:00:00,Added Agnesia to the PvE Meta tab (She was missing)
,
2024-07-02 00:00:00,Added Notes to the Character Builds regarding the color of equipment
,
2024-07-01 00:00:00,"Still considering changing Lime's name to her Surname, Serenity"
,Edited PvP Meta to reflect meta as of July 1st based on... Hearsay
,Added additional key to Vulcanus Rank 12 in Content Keys
,Published v2 of the Beginner's Guide. [Still WIP]
,Reformatted Table of Contents
,Recolored a number of pages
,
2024-06-27 00:00:00,"Change Icons for Nelia, Rufus, Asin, etc. (Not Relevant to anything)"
,Edited PvE Meta to reflect the meta based on Nelia (T)'s Release
,"Edited the Equipment for Lime (T), Scarde, in Character Builds"
,
2024-06-21 00:00:00,Started editing Beginner's Guide to be more comprehensive.
,Reformatted the AoT & Aernasis Hammer tab
,Updated keys for World Boss
,
2024-06-17 00:00:00,"Added Veigas T, Nelia T, & Asin T to Builds for SI & Traits"
,Added Zero's Hyper Icon to the sheet. [Job Change]
,Added Veigas (T) to Character Builds [WIP]
,Ran a spell check on the Sheet [lmao]
,
hwarin's,pee
,
2024-06-02 00:00:00,Updated Builds for: Mari (T) & Bram Bram (CS)
,
2024-05-29 00:00:00,Removed certain PVP Heroes from PVE Meta as they are not used in PvE
,Edited Keys: World Boss & Gardosen
,Edited Builds: Bram & Rin (T)
,Reformatted: PvP Meta
,
2024-05-20 00:00:00,Added Adventure Express Tip in Beginner's Guide [The choice]
,Edited Content Keys to reflect the additions of the above tabs
,Edited Table of Contents to correctly link new pages added
,Changed the name of Tier List to PvE Meta
,Finished Mid-Game Guide [hopefully]
,Added a AOT & Hammer tab
,Finished World Boss tab
,
2024-05-17 00:00:00,"Added Veigas (T) & Nelia (T), along with Arme (S) to Release Order"
,Edited Keys: Aernasis Hammer
,Added a World Boss tab [WIP]
,Worked on Mid-Game Guide
,
2024-05-05 00:00:00,Removed Europa & Ai from Tier List as they're PvP only
,
2024-04-29 00:00:00,"Considered changing Lime's name to her Surname, Serenity"
,"Fixed Ganymede's LB [Removed her Chaser, added S1]"
,
2024-04-24 00:00:00,Revamped SI Builds to better resemble the in-game design
,"Due to the above, removed the PvP section from Tier List"
,Deleted & Restarted Equipment / Not Visible Yet
,Combined the Progression & Beginner's Guide
,Started World Boss Meta / Not Visible Yet
,Added Release Order
,Finished PvP Meta
,
2024-04-16 00:00:00,Edited Content Keys : Zero (T)'s release
,
2024-04-11 00:00:00,Content Keys [Old]: Removed P3 for Aernasis Hammer due to revamp
,"Added Bram to the sheet Currently WIP for Builds, etc"
,Updated Content Keys: Aernasis Hammer
,
2024-04-09 00:00:00,Revamped Content Keys to be 2 columns to avoid clutter
,Tier List: PvP List Changes
,Reorganised the tabs
,
2024-03-25 00:00:00,Changed the name of TL;DR to Beginner's Guide
,Changed several pictures & banners
,Changed colors to be less boring
,
2024-03-23 00:00:00,Finished Adding Icons to Builds
,
2024-03-20 00:00:00,Made a separate build for Bastet in Builds for World Boss & AH
,Experimented with Lapis (T) + Lire (T) PvP Def Works too well
,Fixed Icons for certain characters in Content Keys
,
2024-03-18 00:00:00,Fixed Arme's build from SDR to SDI [Copy & Paste Error]
,Fixed various typos
,
2024-03-16 00:00:00,Added TL;DR
,
2024-03-13 00:00:00,Faced existential crisis because Bastet makes me choke on PvP
,Started a TL;DR for beginners [WIP/ Hidden for Now]
,Edited Tier list based on community input
,Content Keys: PvP
,
2024-03-08 00:00:00,Revamped Content Keys to include icons
,Tier List: Slight PvP Changes
,
2024-03-06 00:00:00,Builds: Bastet Changes [She is not CDR]
,Edited Content Keys : Bastet's release
,
2024-03-04 00:00:00,Reordered the pages a bit there was no reason for this
,Added a SI Builds that has the distribution of SI Points
,Edited the Changelog a bit to reflect new pages
,Added Io to the Tier List [She was missing]
,Added a feedback form for the sheet
,Builds: Added SI Guide
,
2024-02-22 00:00:00,Edited Kanavan & Serdin for Builds
,
2024-02-20 00:00:00,Builds & Content Keys now uses hlookup for images [Not Important]
,Added Change Log to the Front Page [To easier track changes]
,Slightly edited Equipment
,Added a Glossary
,
2024-02-14 00:00:00,Froze The first row & column on Builds to allow better viewing
,Added Icons page to later hook images / [Not Important at all]
,Updated Tier List Again [These Are Stupid]
,
2024-02-11 00:00:00,Added Mari (T) to the Tier List [She was missing]
,Revamped Builds
,
2024-02-08 00:00:00,"Started rework for Builds [Adding icons, traits, enchants, etc]"
,Content Keys: Altar of Time & Aernasis Hammer changes
,Placed Bastet in a Tier (S) / Moved Edel (T) down
,Changed Callisto (T)'s attribute / It's now known
,Revamped Content Keys
,
2024-02-05 00:00:00,Changed the naming style of Content Keys slightly to fit in Div's Tracker
,Added Mari to the Tier List (She was missing?)
,
2024-02-02 00:00:00,Revamped Content Keys
,Added Elesis (S)
,
